Product Name:,Brand Name,price,final price,discount price,stock,features,Descrption
 Surf Excel Matic Top Load Detergent Powder 1 kg ,Surf Excel,M.R.P:  225.00,Price:  209.25,You Save:  15.75,In Stock,   It generates the right amount of foamLeaves a pleasant scent   ," Surf Excel Matic Top Load Detergent Powder 1 kg Love your clothes more with Surf Excel Matic Top Load Detergent Powder. With the power of vibrating molecules, it removes tough stains in the machine without soaking and scrubbing. The new and improved formula ensures tough stain removal so that you can now stop scrubbing your clothes, despite the machine and it also comes with a 'low foam' formula that makes sure just the right amount of foam is created. So go ahead and buy this product online today! "
" Godrej Ezee Winterwear, Chiffon & Silks Liquid Detergent 470 ml ",Ezee,M.R.P:  90.00,Price:  83.70,You Save:  6.30,In Stock,   5x safer than normal detergentLeaves a pleasant and fresh scent   ," Godrej Ezee Winterwear, Chiffon & Silks Liquid Detergent 470 ml Keep your clothes fragrant and fresh for a long time by washing them using the Godrej Ezee Winterwear, Chiffon & Silks Liquid Detergent. This detergent liquid makes sure that the stubborn stains are removed effectively while leaving a pleasant fragrance. This detergent liquid keeps the colour of the fabric bright, even after repeated washing and brings life to the old fabrics by keeping them lint-free. So go ahead and buy this product online today! "
 Sudz Double White Detergent Powder 1 kg ,Sudz,M.R.P:  96.00,Price:  76.00,You Save:  20.00,In Stock,   Sudz Double White Detergent Powder gives unmatched whiteness Leaves a pleasant scent Removes tough stains   , Sudz Double White Detergent Powder 1 kg Sudz Double White Detergent Powder is highly appreciated as it removes the toughest stains from the clothes. This detergent powder gives unmatched whiteness to your clothes. This brand gives you a complete range of laundry products with great cleaning power for all your laundry needs. So go ahead and buy this product online today! 
 Sudz Double White Detergent Powder 4 kg ,Sudz,M.R.P:  384.00,Price:  299.00,You Save:  85.00,In Stock,   Sudz Double White Detergent Powder gives unmatched whiteness Leaves a pleasant scent Removes tough stains   ," Sudz Double White Detergent Powder 4 kg Your whites will be whiter and the colours will be brighter with this Sudz Double White Detergent Powder. Known to remove the toughest stains, this detergent powder is powered by the superior whitening formula. Keep your worries at bay with this powerful detergent powder, which shall make harsh stains, dirt, and grime disappear within seconds. So go ahead and buy this product online today! "
 Enzo Matic Front Load Detergent Powder 6 kg ,Enzo,M.R.P:  899.00,Price:  649.00,You Save:  250.00,In Stock,   Contains triple enzyme stain blastersSpecially designed for front load machines   ," Enzo Matic Front Load Detergent Powder 6 kg Remove the toughest stains within the washing machine itself, even from the difficult collar and cuff areas by using the Enzo Matic Front Load Detergent Powder. This detergent powder keeps the colour of the fabric bright, even after repeated washing and brings life to the old fabrics by keeping them lint-free. This detergent powder makes sure that the stubborn stains will be removed effectively while leaving a pleasant fragrance. So go ahead and buy this product online today! "
 Henko Matic Front Load Detergent Powder 1 kg ,Henko,M.R.P:  250.00,Price:  225.00,You Save:  25.00,In Stock,   Henko Matic Front Load Detergent Powder removes tough stains Leaves a pleasant scent Nano fibre lock technology   ," Henko Matic Front Load Detergent Powder 1 kg Keep your clothes shining and free of stains by washing them using the Henko Matic Front Load Detergent Powder. This detergent powder keeps the colour of the fabric bright, even after repeated washing and brings life to the old fabrics by keeping them lint free. This detergent powder makes sure that the stubborn stains are removed effectively while leaving a pleasant fragrance. It gets rid of the grime, dirt as well as the germs on your clothes in no time. So go ahead and buy this product online today! "
 Enzo Matic Top Load Detergent Powder 6 kg ,Enzo,M.R.P:  899.00,Price:  649.00,You Save:  250.00,In Stock,   Contains triple enzyme stain blastersSpecially designed for front load machines   ," Enzo Matic Top Load Detergent Powder 6 kg Remove the toughest stains in the with washing machine itself, even from the difficult collar and cuff areas by using the Enzo Matic Top Load Detergent Powder. This detergent powder keeps the colour of the fabric bright, even after repeated washing and brings life to the old fabrics by keeping them lint-free. This detergent powder makes sure that the stubborn stains will be removed effectively while leaving a pleasant fragrance. So go ahead and buy this product online today! "
 Enzo Matic Front Load Detergent Powder 2 kg ,Enzo,M.R.P:  349.00,Price:  249.00,You Save:  100.00,In Stock,   Contains triple enzyme stain blastersSpecially designed for front load machines   ," Enzo Matic Front Load Detergent Powder 2 kg Remove the toughest stains from the difficult collar and cuff areas in the washing machine by using the Enzo Matic Front Load Detergent Powder. This detergent powder keeps the colour of the fabric bright, even after repeated washing and brings life to the old fabrics by keeping them lint-free. This detergent powder makes sure that the stubborn stains are removed effectively while leaving a pleasant fragrance. So go ahead and buy this product online today! "
 Henko Matic Top Load Detergent Powder 1 kg (Get 500 g Free) ,Henko,M.R.P:  225.00,Price:  200.00,You Save:  25.00,In Stock,   Nano fibre lock technologyLeaves a pleasant scent   ," Henko Matic Top Load Detergent Powder 1 kg (Get 500 g Free) Keep your clothes shining and free of stains by washing them using the Henko Matic Top Load Detergent Powder. This detergent powder keeps the colour of the fabric bright, even after repeated washing and brings life to the old fabrics by keeping them lint-free. This detergent powder makes sure that the stubborn stains are removed effectively while leaving a pleasant fragrance. It gets rid of the grime, dirt as well as the germs on your clothes in no time. So go ahead and buy this product online today! "
 Enzo Matic Top Load Detergent Powder 2 kg ,Enzo,M.R.P:  349.00,Price:  249.00,You Save:  100.00,In Stock,   Contains triple enzyme stain blastersSpecially designed for front load machines   ," Enzo Matic Top Load Detergent Powder 2 kg Remove the toughest stains with washing machines, even on the difficult collar and cuff areas by using the Enzo Matic Top Load Detergent Powder. This detergent powder keeps the colour of the fabric bright, even after repeated washing and brings life to the old fabrics by keeping them lint-free. This detergent powder makes sure that the stubborn stains will be removed effectively while leaving a pleasant fragrance. So go ahead and buy this product online today!  "
